No,Animal Name,Category Code
1,aardvark,1
2,antelope,2
3,bass,3
4,bear,4
5,boar,2
6,buffalo,2
7,calf,2
8,carp,3
9,catfish,3
10,cavy,2
11,cheetah,1
12,chicken,2
13,chub,3
14,clam,1
15,crab,1
16,crayfish,1
17,crow,2
18,deer,2
19,dogfish,3
20,dolphin,2
21,dove,2
22,duck,2
23,elephant,2
24,flamingo,2
25,flea,1
26,frog,4
27,frog,4
28,fruitbat,2
29,giraffe,2
30,girl,2
31,gnat,2
32,goat,2
33,gorilla,2
34,gull,2
35,haddock,3
36,hamster,1
37,hare,5
38,hawk,1
39,herring,3
40,honeybee,2
41,housefly,1
42,kiwi,5
43,ladybird,1
44,lark,2
45,leopard,1
46,lion,2
47,lobster,1
48,lynx,1
49,mink,1
50,mole,1
51,mongoose,2
52,moth,1
53,newt,1
54,octopus,1
55,opossum,1
56,oryx,2
57,ostrich,2
58,parakeet,2
59,penguin,2
60,pheasant,2
61,pike,1
62,piranha,3
63,pitviper,1
64,platypus,1
65,polecat,5
66,pony,2
67,porpoise,2
68,puma,1
69,pussycat,4
70,raccoon,1
71,reindeer,2
72,rhea,2
73,scorpion,1
74,seahorse,1
75,seal,2
76,sealion,2
77,seasnake,1
78,seawasp,1
79,skimmer,2
80,skua,2
81,slowworm,1
82,slug,1
83,sole,1
84,sparrow,2
85,squirrel,2
86,starfish,1
87,stingray,1
88,swan,2
89,termite,2
90,toad,4
91,tortoise,5
92,tuatara,1
93,tuna,3
94,vampire,1
95,vole,2
96,vulture,2
97,wallaby,2
98,wasp,2
99,wolf,2
100,worm,1
101,wren,2
