Animal,Forest,Desert,Ocean,Freshwater,Grassland,Tundra,Urban,Mountain,Type
aardvark,1,0,0,0,0,0,0,0,1
antelope,1,0,0,0,1,0,0,1,1
bass,0,0,1,1,0,0,0,0,4
bear,1,0,0,0,0,1,0,1,1
boar,1,0,0,0,0,1,0,1,1
buffalo,1,0,0,0,1,1,0,1,1
calf,1,0,0,0,1,1,0,1,1
carp,0,0,1,1,0,0,0,0,4
catfish,0,0,1,1,0,0,0,0,4
cavy,1,0,0,0,1,0,1,0,1
cheetah,1,0,0,0,0,0,0,0,1
chicken,0,0,0,0,1,0,1,0,2
chub,0,0,1,1,0,0,0,0,4
clam,0,0,1,0,0,0,0,0,7
crab,0,0,1,0,0,0,0,0,7
crayfish,0,0,1,1,0,0,0,0,7
crow,1,0,0,0,1,0,1,0,2
deer,1,0,0,0,1,1,0,1,1
dogfish,0,0,1,1,0,0,0,0,4
dolphin,0,0,1,1,0,0,0,0,1
dove,1,0,0,0,1,0,1,0,2
duck,1,0,0,0,1,0,1,0,2
elephant,1,0,0,0,0,1,0,1,1
flamingo,0,0,1,0,1,1,1,0,2
flea,0,0,0,0,0,0,1,0,6
frog,1,0,0,1,1,1,0,1,5
fruitbat,1,0,0,0,0,1,0,1,1
giraffe,1,0,0,0,1,0,0,1,1
girl,1,0,0,0,1,0,1,0,1
gnat,0,0,0,0,1,0,1,0,6
goat,1,0,0,0,1,1,0,1,1
gorilla,1,0,0,0,0,1,0,1,1
gull,0,0,1,0,1,1,1,0,2
haddock,0,0,1,1,0,0,0,0,4
hamster,1,0,0,0,0,0,1,0,1
hare,1,0,0,0,1,1,0,1,1
hawk,1,0,0,0,0,0,1,1,2
herring,0,0,1,1,0,0,0,0,4
honeybee,1,0,0,0,1,0,1,0,6
housefly,0,0,0,0,1,0,1,0,6
kiwi,1,0,0,0,1,1,0,1,2
ladybird,1,0,0,0,1,0,1,0,6
lark,1,0,0,0,1,1,1,0,2
leopard,1,0,0,0,0,1,0,1,1
lion,1,0,0,0,0,1,0,1,1
lobster,0,0,1,0,0,0,0,0,7
lynx,1,0,0,0,1,1,0,1,1
mink,1,0,0,0,0,1,0,1,1
mole,1,0,0,0,0,1,0,1,1
mongoose,1,0,0,0,1,1,0,1,1
moth,0,0,0,0,1,0,1,0,6
newt,1,0,0,1,1,1,0,1,5
octopus,0,0,1,1,0,0,0,0,7
opossum,1,0,0,0,1,1,0,1,1
oryx,1,0,0,0,0,0,0,1,1
ostrich,1,0,0,0,1,1,0,1,2
parakeet,1,0,0,0,1,0,1,0,2
penguin,1,0,1,0,0,1,0,1,2
pheasant,1,0,0,0,1,0,1,0,2
pike,0,0,1,1,0,0,0,0,4
piranha,0,0,1,1,0,0,0,0,4
pitviper,0,1,0,0,0,0,1,0,3
platypus,1,0,0,1,0,0,0,1,1
polecat,1,0,0,0,1,1,0,1,1
pony,1,0,0,0,1,1,0,1,1
porpoise,0,1,0,0,0,0,0,0,1
puma,0,0,0,0,0,0,1,0,1
pussycat,0,0,0,0,0,1,0,0,1
raccoon,1,0,0,1,0,0,1,0,1
reindeer,0,0,0,1,1,0,0,0,1
rhea,0,0,0,1,1,0,0,0,2
scorpion,1,0,0,0,0,1,0,0,7
seahorse,0,1,0,0,0,0,0,0,4
seal,0,1,0,0,0,0,0,0,1
sealion,0,1,0,0,0,0,0,0,1
seasnake,0,1,0,0,0,0,0,0,3
seawasp,0,1,0,0,0,0,0,0,7
skimmer,0,1,0,0,0,0,0,0,2
skua,0,1,0,0,0,0,0,0,2
slowworm,0,0,0,0,0,1,0,0,3
slug,0,0,0,0,0,1,0,0,7
sole,0,1,0,0,0,0,0,0,4
sparrow,0,0,0,0,0,1,0,0,2
squirrel,0,0,0,0,0,1,0,0,1
starfish,0,1,0,0,0,0,0,0,7
stingray,0,1,0,0,0,0,0,0,4
swan,0,0,0,0,0,1,0,0,2
termite,0,0,0,0,0,1,0,0,6
toad,0,0,0,0,0,1,0,0,5
tortoise,0,0,0,0,0,1,0,0,3
tuatara,0,0,0,0,0,0,0,0,3
tuna,0,1,0,0,0,0,0,0,4
vampire,0,0,0,0,0,1,0,0,1
vole,0,0,0,0,0,1,0,0,1
vulture,0,0,0,0,1,0,1,0,2
wallaby,0,0,0,0,0,0,0,0,1
wasp,0,0,0,0,0,1,0,0,6
wolf,0,0,0,0,1,0,1,0,1
worm,0,0,0,0,0,1,0,0,7
wren,0,0,0,0,0,1,0,0,2
