Animal Name,Category Code,Type
aardvark,1,1
antelope,2,1
bass,3,4
bear,4,1
boar,2,1
buffalo,2,1
calf,2,1
carp,3,4
catfish,3,4
cavy,2,1
cheetah,1,1
chicken,2,2
chub,3,4
clam,1,7
crab,1,7
crayfish,1,7
crow,2,2
deer,2,1
dogfish,3,4
dolphin,2,1
dove,2,2
duck,2,2
elephant,2,1
flamingo,2,2
flea,1,6
frog,4,5
frog,4,5
fruitbat,2,1
giraffe,2,1
girl,2,1
gnat,2,6
goat,2,1
gorilla,2,1
gull,2,2
haddock,3,4
hamster,1,1
hare,5,1
hawk,1,2
herring,3,4
honeybee,2,6
housefly,1,6
kiwi,5,2
ladybird,1,6
lark,2,2
leopard,1,1
lion,2,1
lobster,1,7
lynx,1,1
mink,1,1
mole,1,1
mongoose,2,1
moth,1,6
newt,1,5
octopus,1,7
opossum,1,1
oryx,2,1
ostrich,2,2
parakeet,2,2
penguin,2,2
pheasant,2,2
pike,1,4
piranha,3,4
pitviper,1,3
platypus,1,1
polecat,5,1
pony,2,1
porpoise,2,1
puma,1,1
pussycat,4,1
raccoon,1,1
reindeer,2,1
rhea,2,2
scorpion,1,7
seahorse,1,4
seal,2,1
sealion,2,1
seasnake,1,3
seawasp,1,7
skimmer,2,2
skua,2,2
slowworm,1,3
slug,1,7
sole,1,4
sparrow,2,2
squirrel,2,1
starfish,1,7
stingray,1,4
swan,2,2
termite,2,6
toad,4,5
tortoise,5,3
tuatara,1,3
tuna,3,4
vampire,1,1
vole,2,1
vulture,2,2
wallaby,2,1
wasp,2,6
wolf,2,1
worm,1,7
wren,2,2
