Aardvark,8,1,1
Antelope,8,2,1
Bass,5,3,4
Bear,7,4,1
Boar,7,2,1
Buffalo,8,2,1
Calf,8,2,1
Carp,6,3,4
Catfish,6,3,4
Cavy,8,2,1
Cheetah,8,1,1
Chicken,9,2,2
Chub,6,3,4
Clam,5,1,7
Crab,5,1,7
Crayfish,6,1,7
Crow,7,2,2
Deer,7,2,1
Dogfish,5,3,4
Dolphin,5,2,1
Dove,9,2,2
Duck,6,2,2
Elephant,8,2,1
Flamingo,8,2,2
Flea,9,1,6
Frog,6,4,5
Frog,6,4,5
Fruitbat,8,2,1
Giraffe,8,2,1
Girl,9,2,1
Gnat,8,2,6
Goat,8,2,1
Gorilla,7,2,1
Gull,5,2,2
Haddock,5,3,4
Hamster,9,1,1
Hare,8,5,1
Hawk,8,1,2
Herring,5,3,4
Honeybee,8,2,6
Housefly,9,1,6
Kiwi,7,5,2
Ladybird,8,1,6
Lark,8,2,2
Leopard,8,1,1
Lion,7,2,1
Lobster,5,1,7
Lynx,7,1,1
Mink,8,1,1
Mole,7,1,1
Mongoose,8,2,1
Moth,7,1,6
Newt,6,1,5
Octopus,5,1,7
Opossum,8,1,1
Oryx,7,2,1
Ostrich,8,2,2
Parakeet,9,2,2
Penguin,5,2,2
Pheasant,8,2,2
Pike,6,1,4
Piranha,6,3,4
Pitviper,2,1,3
Platypus,6,1,1
Polecat,7,5,1
Pony,8,2,1
Porpoise,5,2,1
Puma,7,1,1
Pussycat,8,4,1
Raccoon,7,1,1
Reindeer,3,2,1
Rhea,8,2,2
Scorpion,2,1,7
Seahorse,5,1,4
Seal,5,2,1
Sealion,5,2,1
Seasnake,5,1,3
Seawasp,5,1,7
Skimmer,5,2,2
Skua,5,2,2
Slowworm,7,1,3
Slug,7,1,7
Sole,5,1,4
Sparrow,8,2,2
Squirrel,7,2,1
Starfish,5,1,7
Stingray,5,1,4
Swan,8,2,2
Termite,9,2,6
Toad,6,4,5
Tortoise,6,5,3
Tuatara,5,1,3
Tuna,5,3,4
Vampire,9,1,1
Vole,7,2,1
Vulture,7,2,2
Wallaby,8,2,1
Wasp,9,2,6
Wolf,7,2,1
Worm,6,1,7
Wren,8,2,2
