 Animal    , Forest , Desert  , Ocean , Freshwater , Grassland , Tundra , Urban   , Mountain 
mongoose,1,0,0,0,0,0,0,0
moth,0,0,0,0,0,0,1,0
newt,1,0,0,1,0,1,0,0
octopus,0,0,1,1,0,0,0,0
opossum,1,0,0,0,0,1,1,0
oryx,0,1,0,0,0,0,0,1
ostrich,0,0,0,0,0,0,1,0
parakeet,0,0,0,0,0,0,1,0
penguin,0,0,1,0,0,1,0,0
pheasant,0,0,0,0,0,0,1,0
pike,0,0,1,1,0,0,0,0
piranha,0,0,1,1,0,0,0,0
pitviper,1,0,0,0,0,1,0,1
platypus,1,0,0,1,0,1,0,0
polecat,1,0,0,0,0,1,0,1
pony,0,0,0,0,0,0,1,0
porpoise,0,0,1,1,0,0,0,0
puma,1,0,0,0,0,1,0,1
pussycat,0,0,0,0,0,0,1,0
raccoon,1,0,0,0,0,1,1,0
reindeer,1,0,0,0,0,1,0,1
rhea,0,1,0,0,0,0,0,1
scorpion,0,1,0,0,0,0,1,1
seahorse,0,0,1,1,0,0,0,0
seal,0,0,1,1,0,0,1,0
sealion,0,0,1,1,0,0,1,0
seasnake,0,0,1,1,0,0,0,0
seawasp,0,0,1,1,0,0,1,0
skimmer,0,0,1,1,0,0,1,0
skua,0,0,1,1,0,0,0,1
slowworm,1,0,0,0,0,1,0,1
slug,1,0,0,0,0,1,1,0
sole,0,0,1,1,0,0,1,0
sparrow,0,0,0,0,0,0,1,0
squirrel,1,0,0,0,0,1,1,0
starfish,0,0,1,1,0,0,0,0
stingray,0,0,1,1,0,0,0,0
swan,0,0,0,0,0,0,1,0
termite,1,0,0,0,0,1,1,0
toad,1,0,0,1,0,1,1,0
tortoise,1,0,0,1,0,1,1,0
tuatara,1,0,0,0,0,1,0,0
tuna,0,0,1,1,0,0,0,0
vampire,1,0,0,0,0,1,1,1
vole,1,0,0,0,0,1,0,0
vulture,1,0,0,0,0,1,1,1
wallaby,0,1,0,0,0,0,0,1
wasp,0,0,0,0,0,0,1,0
wolf,1,0,0,0,0,1,1,1
worm,0,0,0,0,0,0,1,0
wren,1,0,0,0,0,1,1,0
