0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Column_1,Column_2,Column_3,Column_5,Column_7,column_17
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,1,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,2,2,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3,3,3,3,2,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,4,7,4,3,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,5,7,5,2,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,6,2,6,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,2,7,2,7,2,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,6,8,3,8,2,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,9,7,9,2,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,2,10,7,10,2,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,11,7,11,3,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,5,12,1,12,2,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,13,3,13,2,4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,14,7,3,4,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,15,7,13,4,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,16,7,5,4,7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1,17,1,9,2,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,18,2,2,2,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3,19,7,8,1,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,3,20,4,5,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1,21,1,14,2,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,7,22,1,15,2,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,8,23,2,4,3,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,7,24,1,9,2,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,1,25,7,10,4,6
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,7,26,7,3,2,5
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,7,26,7,3,2,5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,7,27,7,7,2,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,28,7,6,2,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,4,29,2,16,3,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,1,30,7,10,4,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,31,7,5,4,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,2,32,2,4,2,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,8,33,5,9,5,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3,34,1,3,2,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,3,35,3,10,2,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,2,36,7,5,2,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,37,7,11,2,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,38,7,3,2,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,3,39,3,17,2,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5,40,7,18,4,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,5,41,7,12,4,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,1,42,7,13,3,6
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,5,43,7,9,4,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,2,44,1,4,2,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,45,7,5,3,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,4,46,6,13,3,7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,47,7,10,4,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,48,7,4,2,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,7,49,7,5,2,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,50,7,11,2,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2,51,5,13,2,6
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,52,7,3,4,5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,53,7,4,2,7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,3,54,7,7,4,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,55,7,6,2,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,9,56,2,9,3,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,4,57,7,14,2,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1,58,1,12,2,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,10,59,1,5,2,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2,60,1,3,2,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,61,7,10,2,4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,6,62,3,4,2,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,9,63,7,18,2,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,7,64,7,5,2,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,65,7,19,2,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,2,66,2,4,2,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,67,4,11,3,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,68,7,20,2,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,69,7,4,4,1
