0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,column_17
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,3,1,3,1,1,1,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,3,2,6,2,1,2,2,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3,3,3,3,3,22,2,2,3,3,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,3,4,3,3,1,4,4,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4,7,3,5,6,2,1,5,5,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,3,6,3,1,1,6,6,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,2,2,2,3,7,22,2,1,3,7,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,6,3,3,3,8,22,2,2,3,8,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,7,3,9,22,2,2,3,9,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,2,2,7,3,10,19,2,1,7,10,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,1,7,3,11,22,3,1,2,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,5,4,1,3,12,19,2,1,3,2,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,3,3,13,22,2,3,3,3,4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,5,7,3,3,19,4,2,7,4,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,6,7,3,13,19,4,4,7,5,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,7,3,5,19,4,5,7,6,7
