0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,column_17
aardvark,1,1,2,70,1,3,1,1,1,1,1
antelope,2,2,2,75,3,4,1,2,2,2,1
bass,3,3,1,80,2,23,1,3,1,3,4
bear,1,4,2,85,4,3,1,4,3,4,1
boar,1,5,2,90,3,4,1,4,4,5,1
buffalo,2,2,2,70,3,3,1,2,2,6,1
calf,1,2,3,75,1,23,1,2,5,4,1
carp,3,3,1,80,2,23,1,3,1,1,4
catfish,3,3,1,85,2,23,1,3,1,1,4
cavy,1,2,2,90,3,20,1,2,1,4,1
cheetah,2,4,1,70,3,23,100,5,2,5,1
chicken,4,6,2,75,2,20,1,4,6,7,2
chub,3,3,1,80,2,23,1,3,1,3,4
clam,3,7,2,85,2,20,1,6,1,8,7
crab,3,7,2,90,2,20,1,6,1,4,7
crayfish,3,7,2,70,2,20,1,6,1,4,7
crow,4,8,2,75,3,20,1,7,6,7,2
deer,1,2,2,80,3,23,1,2,5,2,1
dogfish,3,3,1,85,2,23,1,3,1,1,4
dolphin,3,3,2,90,1,4,1,3,7,7,1
dove,4,6,2,70,3,20,1,2,6,7,2
duck,5,6,2,75,2,20,1,4,6,7,2
elephant,1,2,2,80,4,3,100,2,4,2,1
flamingo,5,9,2,85,5,23,1,2,5,2,2
flea,1,1,2,90,3,20,1,1,1,1,6
frog,3,1,2,70,2,20,1,1,1,7,5
frog,3,1,2,70,2,20,1,1,1,7,5
fruitbat,6,9,2,75,1,20,1,2,1,1,1
giraffe,2,2,2,80,3,23,1,2,2,2,1
girl,4,2,2,85,3,4,1,2,1,2,1
gnat,1,1,2,90,3,23,1,1,1,1,6
goat,1,2,2,70,3,20,1,2,4,4,1
gorilla,7,2,2,75,3,23,100,2,4,4,1
gull,8,3,2,80,3,4,1,7,2,7,2
haddock,3,3,2,85,2,23,1,3,1,1,4
hamster,4,6,2,90,3,23,1,4,1,4,1
hare,1,2,2,70,3,20,1,2,5,2,1
hawk,1,4,2,75,3,20,1,5,2,2,2
herring,3,3,2,80,2,23,1,3,1,1,4
honeybee,1,9,2,85,3,23,1,2,6,1,6
housefly,4,7,2,90,3,20,1,7,1,1,6
kiwi,1,9,2,70,2,20,1,2,1,7,2
ladybird,1,1,2,75,3,20,1,1,1,2,6
lark,1,6,2,80,3,20,1,2,6,7,2
leopard,1,4,2,85,3,20,100,5,4,2,1
lion,1,4,2,90,3,23,100,5,4,5,1
lobster,3,3,2,70,2,4,1,6,1,4,7
lynx,1,4,2,75,3,23,1,5,4,2,1
mink,1,4,2,80,3,23,1,5,4,4,1
mole,1,1,2,85,3,20,1,1,1,1,1
mongoose,1,4,2,90,3,20,1,5,4,4,1
moth,1,1,2,70,3,23,1,1,1,1,6
newt,3,1,2,75,2,20,1,1,1,1,5
octopus,3,3,2,80,2,20,1,6,1,4,7
opossum,1,8,2,85,1,23,1,4,1,4,1
oryx,9,2,2,90,3,23,1,2,2,2,1
ostrich,1,2,2,70,3,23,1,2,4,2,2
parakeet,6,6,2,75,3,4,1,2,2,7,2
penguin,3,3,2,80,3,20,1,3,2,7,2
pheasant,1,6,2,85,3,23,1,4,2,7,2
pike,3,3,2,90,2,23,1,3,1,3,4
piranha,3,3,2,70,2,23,1,3,1,5,4
pitviper,1,4,2,75,3,20,1,5,1,5,3
platypus,3,1,2,80,2,20,1,6,1,1,1
polecat,1,4,2,85,3,23,1,5,4,4,1
pony,1,2,2,90,3,20,1,2,4,4,1
porpoise,3,3,2,70,1,23,1,3,7,7,1
puma,1,4,2,75,3,23,1,5,4,5,1
pussycat,1,4,2,80,3,23,1,5,1,4,1
raccoon,1,8,2,85,3,20,1,4,4,4,1
reindeer,9,2,2,90,3,23,1,2,5,2,1
rhea,2,2,2,70,3,23,1,2,2,2,2
scorpion,1,8,2,75,2,23,1,6,1,5,7
seahorse,3,3,2,80,2,20,1,6,1,4,4
seal,3,3,2,85,1,20,1,3,7,4,1
sealion,3,3,2,90,1,23,1,3,7,4,1
seasnake,3,3,2,70,2,23,1,6,1,4,3
seawasp,3,9,2,75,2,23,1,6,1,4,7
skimmer,3,3,2,80,3,20,1,7,1,2,2
skua,8,3,2,85,3,23,1,7,1,2,2
slowworm,1,1,2,90,2,23,1,1,1,4,3
slug,1,7,2,70,2,20,1,2,1,1,7
sole,3,3,2,75,2,20,1,6,1,1,4
sparrow,4,6,2,80,3,20,1,4,6,7,2
squirrel,1,6,2,85,3,20,1,2,4,4,1
starfish,3,3,2,90,2,20,1,6,1,4,7
stingray,3,3,2,70,2,20,1,6,1,4,4
swan,3,6,2,75,3,23,1,2,2,7,2
termite,1,7,2,80,2,23,1,1,1,1,6
toad,1,1,2,85,2,20,1,1,1,7,5
tortoise,1,2,2,90,2,20,1,2,1,4,3
tuatara,1,1,2,70,2,23,1,1,1,4,3
tuna,3,3,2,75,2,23,1,3,2,1,4
vampire,1,4,2,80,3,23,1,5,1,1,1
vole,1,2,2,85,3,23,1,2,1,4,1
vulture,1,8,2,90,3,20,1,7,4,2,2
wallaby,1,2,2,70,3,23,1,2,4,4,1
wasp,1,9,2,75,3,23,1,1,1,1,6
wolf,1,4,2,80,3,20,1,5,4,4,1
worm,1,7,2,85,2,23,1,1,1,1,7
wren,1,1,2,90,3,20,1,1,6,7,2
