0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,7,1.0,1,3.0,1,1.0,0.0,5.0
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2,2,2,2.0,2,3.0,2,1.0,46.0,1.0
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,3,3,3,3.0,3,3.0,2,1.0,46.0,1.0
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,4,7,4.0,4,3.0,3,1.0,46.0,2.0
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,5,7,5.0,5,3.0,2,2.0,46.0,3.0
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2,6,2,6.0,6,2.0,1,3.0,46.0,3.0
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,2,7,2,7.0,7,2.0,2,1.0,0.0,8.0
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,6,8,3,8.0,8,2.0,2,4.0,46.0,9.0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,6,9,7,9.0,9,2.0,2,5.0,46.0,1.0
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,2,10,7,10.0,10,2.0,2,2.0,0.0,9.0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4,11,7,11.0,11,1.0,3,3.0,0.0,1.0
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,5,12,1,12.0,12,1.0,2,1.0,0.0,1.0
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,6,13,3,13.0,13,1.0,2,4.0,46.0,1.0
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,14,7,14.0,3,1.0,4,,0.0,1.0
