1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Column_1,Column_2,Column_3,Column_5,Column_7
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,7,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2,2,2,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,3,3,3,3,2
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,4,7,4,3
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,5,7,5,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2,6,2,6,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,2,7,2,7,2
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,6,8,3,8,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,6,9,7,9,2
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,2,10,7,10,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4,11,7,11,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,5,12,1,12,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,6,13,3,13,2
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,14,7,3,4
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,7,15,7,13,4
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,16,7,5,4
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,1,17,1,9,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,18,2,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,3,19,7,8,1
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,3,20,4,5,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,1,21,1,14,2
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,7,22,1,15,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,8,23,2,4,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,7,24,1,9,2
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,1,25,7,10,4
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,7,26,7,3,2
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,7,26,7,3,2
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,7,27,7,7,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,28,7,6,2
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,4,29,2,16,3
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,1,30,7,10,4
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,31,7,5,4
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,2,32,2,4,2
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,8,33,5,9,5
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,3,34,1,3,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,3,35,3,10,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,2,36,7,5,2
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,37,7,11,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1,38,7,3,2
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,3,39,3,17,2
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,5,40,7,18,4
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,5,41,7,12,4
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,1,42,7,13,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,5,43,7,9,4
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,2,44,1,4,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4,45,7,5,3
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,4,46,6,13,3
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3,47,7,10,4
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,1,48,7,4,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,7,49,7,5,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,50,7,11,2
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,2,51,5,13,2
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,5,52,7,3,4
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,7,53,7,4,2
