1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Column_2,Column_3,Column_5,Column_7,column_17
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2,2,2,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,3,3,3,2,3
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,4,7,4,3,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,5,7,5,2,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,6,2,6,1,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,7,2,7,2,2
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,8,3,8,2,6
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,9,7,9,2,6
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,10,7,10,2,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,11,7,11,3,4
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,12,1,12,2,5
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,13,3,13,2,6
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,14,7,3,4,7
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,15,7,13,4,7
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,16,7,5,4,7
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,17,1,9,2,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,18,2,2,2,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,19,7,8,1,3
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,20,4,5,1,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,21,1,14,2,1
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,22,1,15,2,7
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,23,2,4,3,8
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,24,1,9,2,7
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,25,7,10,4,1
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,26,7,3,2,7
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,26,7,3,2,7
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,27,7,7,2,7
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,28,7,6,2,1
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,29,2,16,3,4
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,30,7,10,4,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,31,7,5,4,1
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,32,2,4,2,2
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,33,5,9,5,8
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,34,1,3,2,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,35,3,10,2,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,36,7,5,2,2
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,37,7,11,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,38,7,3,2,1
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,39,3,17,2,3
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,40,7,18,4,5
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,41,7,12,4,5
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,42,7,13,3,1
